pokedex_number;name;type1;type2;hp;defense;attack;sp_defense;sp_attack;speed;base_total;capture_rate;base_happiness;experience_growth;Height_m;Weight_kg;hasGender;percentage_male;is_legendary;generation;classfication;Color;Body_Style;hasMegaEvolution;Egg_Group_1;Egg_Group_2;base_egg_steps;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;abilities;ability 1;ability 2;ability 3;ability 4;ability 5;ability 6
191;Sunkern;grass;;30;30;30;30;30;30;180;235;70;1059860;0.3;1.8;TRUE;50;0;2;Seed;Yellow;head_only;FALSE;Grass;;5120;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;['Chlorophyll', 'Solar Power', 'Early Bird'];Chlorophyll;Solar Power;Early Bird;;;
192;Sunflora;grass;;75;55;75;85;105;30;425;120;70;1059860;0.79;8.5;TRUE;50;0;2;Sun;Yellow;bipedal_tailless;FALSE;Grass;;5120;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;['Chlorophyll', 'Solar Power', 'Early Bird'];Chlorophyll;Solar Power;Early Bird;;;
193;Yanma;bug;flying;65;45;65;45;75;95;390;75;70;1000000;1.19;38;TRUE;50;0;2;Clear Wing;Red;four_wings;FALSE;Bug;;5120;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;['Speed Boost', 'Compoundeyes', 'Frisk'];Speed Boost;Compoundeyes;Frisk;;;
194;Wooper;water;ground;55;45;45;25;25;15;210;255;70;1000000;0.41;8.5;TRUE;50;0;2;Water Fish;Blue;head_legs;FALSE;Water_1;Field;5120;1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;['Damp', 'Water Absorb', 'Unaware'];Damp;Water Absorb;Unaware;;;
195;Quagsire;water;ground;95;85;85;65;65;35;430;90;70;1000000;1.4;75;TRUE;50;0;2;Water Fish;Blue;bipedal_tailed;FALSE;Water_1;Field;5120;1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;['Damp', 'Water Absorb', 'Unaware'];Damp;Water Absorb;Unaware;;;
196;Espeon;psychic;;65;60;65;95;130;110;525;45;70;1000000;0.89;26.5;TRUE;88.1;0;2;Sun;Purple;quadruped;FALSE;Field;;8960;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;['Synchronize', 'Magic Bounce'];Synchronize;Magic Bounce;;;;
197;Umbreon;dark;;95;110;65;130;60;65;525;45;35;1000000;0.99;27;TRUE;88.1;0;2;Moonlight;Black;quadruped;FALSE;Field;;8960;2;0.5;1;1;2;2;1;1;0.5;1;1;1;1;1;0;1;1;1;['Synchronize', 'Inner Focus'];Synchronize;Inner Focus;;;;
198;Murkrow;dark;flying;60;42;85;42;85;91;405;30;35;1059860;0.51;2.1;TRUE;50;0;2;Darkness;Black;two_wings;FALSE;Flying;;5120;1;0.5;1;2;2;1;1;1;0.5;0.5;0;2;1;1;0;2;1;1;['Insomnia', 'Super Luck', 'Prankster'];Insomnia;Super Luck;Prankster;;;
199;Slowking;water;psychic;95;80;75;110;100;30;490;70;70;1000000;2.01;79.5;TRUE;50;0;2;Royal;Pink;bipedal_tailed;FALSE;Monster;Water_1;5120;2;2;1;2;1;0.5;0.5;1;2;2;1;0.5;1;1;0.5;1;0.5;0.5;['Oblivious', 'Own Tempo', 'Regenerator'];Oblivious;Own Tempo;Regenerator;;;
200;Misdreavus;ghost;;60;60;60;85;85;85;435;45;35;800000;0.71;1;TRUE;50;0;2;Screech;Purple;head_only;FALSE;Amorphous;;6400;0.5;2;1;1;1;0;1;1;2;1;1;1;0;0.5;1;1;1;1;['Levitate'];Levitate;;;;;
201;Unown;psychic;;48;48;72;48;72;48;336;225;70;1000000;0.51;5;FALSE;;0;2;Symbol;Black;head_only;FALSE;Undiscovered;;10240;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;['Levitate'];Levitate;;;;;
202;Wobbuffet;psychic;;190;58;33;58;33;33;405;45;70;1000000;1.3;28.5;TRUE;50;0;2;Patient;Blue;head_base;FALSE;Amorphous;;5120;2;2;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;1;1;['Shadow Tag', 'Telepathy'];Shadow Tag;Telepathy;;;;
203;Girafarig;normal;psychic;70;65;80;65;90;85;455;60;70;1000000;1.5;41.5;TRUE;50;0;2;Long Neck;Yellow;quadruped;FALSE;Field;;5120;2;2;1;1;1;1;1;1;0;1;1;1;1;1;0.5;1;1;1;['Inner Focus', 'Early Bird', 'Sap Sipper'];Inner Focus;Early Bird;Sap Sipper;;;
204;Pineco;bug;;50;90;65;35;35;15;290;190;70;1000000;0.61;7.2;TRUE;50;0;2;Bagworm;Grey;head_only;FALSE;Bug;;5120;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;['Sturdy', 'Overcoat'];Sturdy;Overcoat;;;;
205;Forretress;bug;steel;75;140;90;60;60;40;465;75;70;1000000;1.19;125.8;TRUE;50;0;2;Bagworm;Purple;head_only;FALSE;Bug;;5120;0.5;1;0.5;1;0.5;1;4;1;1;0.25;1;0.5;0.5;0;0.5;1;0.5;1;['Sturdy', 'Overcoat'];Sturdy;Overcoat;;;;
206;Dunsparce;normal;;100;70;70;65;65;45;415;190;70;1000000;1.5;14;TRUE;50;0;2;Land Snake;Yellow;serpentine_body;FALSE;Field;;5120;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Serene Grace', 'Run Away', 'Rattled'];Serene Grace;Run Away;Rattled;;;
207;Gligar;ground;flying;65;105;75;65;35;85;430;60;70;1059860;1.09;64.8;TRUE;50;0;2;Flyscorpion;Purple;two_wings;FALSE;Bug;;5120;0.5;1;1;0;1;0.5;1;1;1;1;0;4;1;0.5;1;1;1;2;['Hyper Cutter', 'Sand Veil', 'Immunity'];Hyper Cutter;Sand Veil;Immunity;;;
208;Steelix;steel;ground;75;230;125;95;55;30;610;25;70;1000000;9.19;400;TRUE;50;0;2;Iron Snake;Grey;serpentine_body;TRUE;Mineral;;6400;0.5;1;0.5;0;0.5;2;2;0.5;1;1;2;1;0.5;0;0.5;0.25;0.5;2;['Rock Head', 'Sturdy', 'Sheer Force'];Rock Head;Sturdy;Sheer Force;;;
209;Snubbull;fairy;;60;50;80;40;40;30;300;190;70;800000;0.61;7.8;TRUE;24.6;0;2;Fairy;Pink;bipedal_tailless;FALSE;Field;Fairy;5120;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;['Intimidate', 'Run Away', 'Rattled'];Intimidate;Run Away;Rattled;;;
210;Granbull;fairy;;90;75;120;60;60;45;450;75;70;800000;1.4;48.7;TRUE;24.6;0;2;Fairy;Purple;bipedal_tailed;FALSE;Field;Fairy;5120;0.5;0.5;0;1;1;0.5;1;1;1;1;1;1;1;2;1;1;2;1;['Intimidate', 'Quick Feet', 'Rattled'];Intimidate;Quick Feet;Rattled;;;
211;Qwilfish;water;poison;65;85;95;55;55;85;440;45;70;1000000;0.51;3.9;TRUE;50;0;2;Balloon;Grey;with_fins;FALSE;Water_2;;5120;0.5;1;1;2;0.5;0.5;0.5;1;1;1;2;0.5;1;0.5;2;1;0.5;0.5;['Poison Point', 'Swift Swim', 'Intimidate'];Poison Point;Swift Swim;Intimidate;;;
212;Scizor;bug;steel;70;140;150;100;65;75;600;25;70;1000000;1.8;118;TRUE;50;0;2;Pincer;Red;four_wings;TRUE;Bug;;6400;0.5;1;0.5;1;0.5;1;4;1;1;0.25;1;0.5;0.5;0;0.5;1;0.5;1;['Swarm', 'Technician', 'Light Metal'];Swarm;Technician;Light Metal;;;
213;Shuckle;bug;rock;20;230;10;230;10;5;505;190;70;1059860;0.61;20.5;TRUE;50;0;2;Mold;Yellow;insectoid;FALSE;Bug;;5120;1;1;1;1;1;1;1;1;1;1;1;1;0.5;0.5;1;2;2;2;['Sturdy', 'Gluttony', 'Contrary'];Sturdy;Gluttony;Contrary;;;
214;Heracross;bug;fighting;80;115;185;105;40;75;600;45;70;1250000;1.5;54;TRUE;50;0;2;Singlehorn;Blue;bipedal_tailless;TRUE;Bug;;6400;0.5;0.5;1;1;2;0.5;2;4;1;0.5;0.5;1;1;1;2;1;1;1;['Swarm', 'Guts', 'Moxie'];Swarm;Guts;Moxie;;;
215;Sneasel;dark;ice;55;55;95;75;35;115;430;60;35;1059860;0.89;28;TRUE;50;0;2;Sharp Claw;Black;bipedal_tailed;FALSE;Field;;5120;2;0.5;1;1;2;4;2;1;0.5;1;1;0.5;1;1;0;2;2;1;['Inner Focus', 'Keen Eye', 'Pickpocket'];Inner Focus;Keen Eye;Pickpocket;;;
216;Teddiursa;normal;;60;50;80;50;50;40;330;120;70;1000000;0.61;8.8;TRUE;50;0;2;Little Bear;Brown;bipedal_tailed;FALSE;Field;;5120;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Pickup', 'Quick Feet', 'Honey Gather'];Pickup;Quick Feet;Honey Gather;;;
217;Ursaring;normal;;90;75;130;75;75;55;500;60;70;1000000;1.8;125.8;TRUE;50;0;2;Hibernator;Brown;bipedal_tailed;FALSE;Field;;5120;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Guts', 'Quick Feet', 'Unnerve'];Guts;Quick Feet;Unnerve;;;
218;Slugma;fire;;40;40;40;40;70;20;250;190;70;1000000;0.71;35;TRUE;50;0;2;Lava;Red;serpentine_body;FALSE;Amorphous;;5120;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;['Magma Armor', 'Flame Body', 'Weak Armor'];Magma Armor;Flame Body;Weak Armor;;;
219;Magcargo;fire;rock;60;120;50;80;90;30;430;75;70;1000000;0.79;55;TRUE;50;0;2;Lava;Red;serpentine_body;FALSE;Amorphous;;5120;0.5;1;1;1;0.5;2;0.25;0.5;1;1;4;0.5;0.5;0.5;1;2;1;4;['Magma Armor', 'Flame Body', 'Weak Armor'];Magma Armor;Flame Body;Weak Armor;;;
220;Swinub;ice;ground;50;40;50;30;30;50;250;225;70;1250000;0.41;6.5;TRUE;50;0;2;Pig;Brown;quadruped;FALSE;Field;;5120;1;1;1;0;1;2;2;1;1;2;1;1;1;0.5;1;1;2;2;['Oblivious', 'Snow Cloak', 'Thick Fat'];Oblivious;Snow Cloak;Thick Fat;;;
221;Piloswine;ice;ground;100;80;100;60;60;50;450;75;70;1250000;1.09;55.8;TRUE;50;0;2;Swine;Brown;quadruped;FALSE;Field;;5120;1;1;1;0;1;2;2;1;1;2;1;1;1;0.5;1;1;2;2;['Oblivious', 'Snow Cloak', 'Thick Fat'];Oblivious;Snow Cloak;Thick Fat;;;
222;Corsola;water;rock;65;95;55;95;65;35;410;60;70;800000;0.61;5;TRUE;24.6;0;2;Coral;Pink;insectoid;FALSE;Water_1;Water_3;5120;1;1;1;2;1;2;0.25;0.5;1;4;2;0.5;0.5;0.5;1;1;1;1;['Hustle', 'Natural Cure', 'Regenerator'];Hustle;Natural Cure;Regenerator;;;
223;Remoraid;water;;35;35;65;35;65;65;300;190;70;1000000;0.61;12;TRUE;50;0;2;Jet;Grey;with_fins;FALSE;Water_1;Water_2;5120;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;['Hustle', 'Sniper', 'Moody'];Hustle;Sniper;Moody;;;
224;Octillery;water;;75;75;105;75;105;45;480;75;70;1000000;0.89;28.5;TRUE;50;0;2;Jet;Red;several_limbs;FALSE;Water_1;Water_2;5120;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;['Suction Cups', 'Sniper', 'Moody'];Suction Cups;Sniper;Moody;;;
225;Delibird;ice;flying;45;45;55;45;65;75;330;45;70;800000;0.89;16;TRUE;50;0;2;Delivery;Red;two_wings;FALSE;Water_1;Field;5120;0.5;1;1;2;1;1;2;1;1;0.5;0;1;1;1;1;4;2;1;['Vital Spirit', 'Hustle', 'Insomnia'];Vital Spirit;Hustle;Insomnia;;;
226;Mantine;water;flying;85;70;40;140;80;70;485;25;70;1250000;2.11;220;TRUE;50;0;2;Kite;Purple;two_wings;FALSE;Water_1;;6400;0.5;1;1;4;1;0.5;0.5;1;1;1;0;1;1;1;1;2;0.5;0.5;['Swift Swim', 'Water Absorb', 'Water Veil'];Swift Swim;Water Absorb;Water Veil;;;
227;Skarmory;steel;flying;65;140;80;70;40;70;465;25;70;1250000;1.7;50.5;TRUE;50;0;2;Armor Bird;Grey;two_wings;FALSE;Flying;;6400;0.25;1;0.5;2;0.5;1;2;0.5;1;0.25;0;1;0.5;0;0.5;1;0.5;1;['Keen Eye', 'Sturdy', 'Weak Armor'];Keen Eye;Sturdy;Weak Armor;;;
228;Houndour;dark;fire;45;30;60;50;80;65;330;120;35;1250000;0.61;10.8;TRUE;50;0;2;Dark;Black;quadruped;FALSE;Field;;5120;1;0.5;1;1;1;2;0.5;1;0.5;0.5;2;0.5;1;1;0;2;0.5;2;['Early Bird', 'Flash Fire', 'Unnerve'];Early Bird;Flash Fire;Unnerve;;;
229;Houndoom;dark;fire;75;90;90;90;140;115;600;45;35;1250000;1.4;35;TRUE;50;0;2;Dark;Black;quadruped;TRUE;Field;;5120;1;0.5;1;1;1;2;0.5;1;0.5;0.5;2;0.5;1;1;0;2;0.5;2;['Early Bird', 'Flash Fire', 'Unnerve'];Early Bird;Flash Fire;Unnerve;;;
230;Kingdra;water;dragon;75;95;95;95;95;85;540;45;70;1000000;1.8;152;TRUE;50;0;2;Dragon;Blue;head_base;FALSE;Water_1;Dragon;5120;1;1;2;1;2;1;0.25;1;1;1;1;1;1;1;1;1;0.5;0.25;['Swift Swim', 'Sniper', 'Damp'];Swift Swim;Sniper;Damp;;;
231;Phanpy;ground;;90;60;60;40;40;40;330;120;70;1000000;0.51;33.5;TRUE;50;0;2;Long Nose;Blue;quadruped;FALSE;Field;;5120;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;['Pickup', 'Sand Veil'];Pickup;Sand Veil;;;;
232;Donphan;ground;;90;120;120;60;60;50;500;60;70;1000000;1.09;120;TRUE;50;0;2;Armor;Grey;quadruped;FALSE;Field;;5120;1;1;1;0;1;1;1;1;1;2;1;2;1;0.5;1;0.5;1;2;['Sturdy', 'Sand Veil'];Sturdy;Sand Veil;;;;
233;Porygon2;normal;;85;90;80;95;105;60;515;45;70;1000000;0.61;32.5;FALSE;;0;2;Virtual;Red;head_legs;FALSE;Mineral;;5120;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Trace', 'Download', 'Analytic'];Trace;Download;Analytic;;;
234;Stantler;normal;;73;62;95;65;85;85;465;45;70;1250000;1.4;71.2;TRUE;50;0;2;Big Horn;Brown;quadruped;FALSE;Field;;5120;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Intimidate', 'Frisk', 'Sap Sipper'];Intimidate;Frisk;Sap Sipper;;;
235;Smeargle;normal;;55;35;20;45;20;75;250;45;70;800000;1.19;58;TRUE;50;0;2;Painter;White;bipedal_tailed;FALSE;Field;;5120;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Own Tempo', 'Technician', 'Moody'];Own Tempo;Technician;Moody;;;
236;Tyrogue;fighting;;35;35;35;35;35;35;210;75;70;1000000;0.71;21;TRUE;100;0;2;Scuffle;Purple;bipedal_tailless;FALSE;Undiscovered;;6400;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;['Guts', 'Steadfast', 'Vital Spirit'];Guts;Steadfast;Vital Spirit;;;
237;Hitmontop;fighting;;50;95;95;110;35;70;455;45;70;1000000;1.4;48;TRUE;100;0;2;Handstand;Brown;bipedal_tailed;FALSE;Human-Like;;6400;0.5;0.5;1;1;2;1;1;2;1;1;1;1;1;1;2;0.5;1;1;['Intimidate', 'Technician', 'Steadfast'];Intimidate;Technician;Steadfast;;;
238;Smoochum;ice;psychic;45;15;30;65;85;65;305;45;70;1000000;0.41;6;TRUE;0;0;2;Kiss;Pink;bipedal_tailless;FALSE;Undiscovered;;6400;2;2;1;1;1;1;2;1;2;1;1;0.5;1;1;0.5;2;2;1;['Oblivious', 'Forewarn', 'Hydration'];Oblivious;Forewarn;Hydration;;;
239;Elekid;electric;;45;37;63;55;65;95;360;45;70;1000000;0.61;23.5;TRUE;75.4;0;2;Electric;Yellow;bipedal_tailless;FALSE;Undiscovered;;6400;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;['Static', 'Vital Spirit'];Static;Vital Spirit;;;;
240;Magby;fire;;45;37;75;55;70;83;365;45;70;1000000;0.71;21.4;TRUE;75.4;0;2;Live Coal;Red;bipedal_tailed;FALSE;Undiscovered;;6400;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;['Flame Body', 'Vital Spirit'];Flame Body;Vital Spirit;;;;
241;Miltank;normal;;95;105;80;70;40;100;490;45;70;1250000;1.19;75.5;TRUE;0;0;2;Milk Cow;Pink;bipedal_tailed;FALSE;Field;;5120;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Thick Fat', 'Scrappy', 'Sap Sipper'];Thick Fat;Scrappy;Sap Sipper;;;
242;Blissey;normal;;255;10;10;135;75;55;540;30;140;800000;1.5;46.8;TRUE;0;0;2;Happiness;Pink;bipedal_tailless;FALSE;Fairy;;10240;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Natural Cure', 'Serene Grace', 'Healer'];Natural Cure;Serene Grace;Healer;;;
243;Raikou;electric;;90;75;85;100;115;115;580;3;35;1250000;1.91;178;FALSE;;1;2;Thunder;Yellow;quadruped;FALSE;Undiscovered;;20480;1;1;1;0.5;1;1;1;0.5;1;1;2;1;1;1;1;1;0.5;1;['Pressure', 'Inner Focus'];Pressure;Inner Focus;;;;
244;Entei;fire;;115;85;115;75;90;100;580;3;35;1250000;2.11;198;FALSE;;1;2;Volcano;Brown;quadruped;FALSE;Undiscovered;;20480;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;['Pressure', 'Inner Focus'];Pressure;Inner Focus;;;;
245;Suicune;water;;100;115;75;115;90;85;580;3;35;1250000;2.01;187;FALSE;;1;2;Aurora;Blue;quadruped;FALSE;Undiscovered;;20480;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;['Pressure', 'Inner Focus'];Pressure;Inner Focus;;;;
246;Larvitar;rock;ground;50;50;64;50;45;41;300;45;35;1250000;0.61;72;TRUE;50;0;2;Rock Skin;Green;bipedal_tailed;FALSE;Monster;;10240;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;['Guts', 'Sand Veil'];Guts;Sand Veil;;;;
247;Pupitar;rock;ground;70;70;84;70;65;51;410;45;35;1250000;1.19;152;TRUE;50;0;2;Hard Shell;Grey;serpentine_body;FALSE;Monster;;10240;1;1;1;0;1;2;0.5;0.5;1;4;2;2;0.5;0.25;1;0.5;2;4;['Shed Skin'];Shed Skin;;;;;
248;Tyranitar;rock;dark;100;150;164;120;95;71;700;45;35;1250000;2.01;202;TRUE;50;0;2;Armor;Green;bipedal_tailed;TRUE;Monster;;10240;2;0.5;1;1;2;4;0.5;0.5;0.5;2;2;1;0.5;0.5;0;1;2;2;['Sand Stream', 'Unnerve'];Sand Stream;Unnerve;;;;
249;Lugia;psychic;flying;106;130;90;154;90;110;680;3;0;1250000;5.21;216;FALSE;;1;2;Diving;White;two_wings;FALSE;Undiscovered;;30720;1;2;1;2;1;0.25;1;1;2;0.5;0;2;1;1;0.5;2;1;1;['Pressure', 'Multiscale'];Pressure;Multiscale;;;;
250;Ho-Oh;fire;flying;106;90;130;154;110;90;680;3;0;1250000;3.81;199;FALSE;;1;2;Rainbow;Red;two_wings;FALSE;Undiscovered;;30720;0.25;1;1;2;0.5;0.5;0.5;1;1;0.25;0;1;1;1;1;4;0.5;2;['Pressure', 'Regenerator'];Pressure;Regenerator;;;;
251;Celebi;psychic;grass;100;100;100;100;100;100;600;45;100;1059860;0.61;5;FALSE;;1;2;Time Travel;Green;bipedal_tailless;FALSE;Undiscovered;;30720;4;2;1;0.5;1;0.5;2;2;2;0.5;0.5;2;1;2;0.5;1;1;0.5;['Natural Cure'];Natural Cure;;;;;
252;Treecko;grass;;40;35;45;55;65;70;310;45;70;1059860;0.51;5;TRUE;88.1;0;3;Wood Gecko;Green;bipedal_tailed;FALSE;Monster;Dragon;5120;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;['Overgrow', 'Unburden'];Overgrow;Unburden;;;;
253;Grovyle;grass;;50;45;65;65;85;95;405;45;70;1059860;0.89;21.6;TRUE;88.1;0;3;Wood Gecko;Green;bipedal_tailed;FALSE;Monster;Dragon;5120;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;['Overgrow', 'Unburden'];Overgrow;Unburden;;;;
254;Sceptile;grass;;70;75;110;85;145;145;630;45;70;1059860;1.7;52.2;TRUE;88.1;0;3;Forest;Green;bipedal_tailed;TRUE;Monster;Dragon;5120;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;['Overgrow', 'Unburden'];Overgrow;Unburden;;;;
255;Torchic;fire;;45;40;60;50;70;45;310;45;70;1059860;0.41;2.5;TRUE;88.1;0;3;Chick;Red;head_legs;FALSE;Field;;5120;0.5;1;1;1;0.5;1;0.5;1;1;0.5;2;0.5;1;1;1;2;0.5;2;['Blaze', 'Speed Boost'];Blaze;Speed Boost;;;;
256;Combusken;fire;fighting;60;60;85;60;85;55;405;45;70;1059860;0.89;19.5;TRUE;88.1;0;3;Young Fowl;Red;bipedal_tailed;FALSE;Field;;5120;0.25;0.5;1;1;1;1;0.5;2;1;0.5;2;0.5;1;1;2;1;0.5;2;['Blaze', 'Speed Boost'];Blaze;Speed Boost;;;;
257;Blaziken;fire;fighting;80;80;160;80;130;100;630;45;70;1059860;1.91;52;TRUE;88.1;0;3;Blaze;Red;bipedal_tailed;TRUE;Field;;5120;0.25;0.5;1;1;1;1;0.5;2;1;0.5;2;0.5;1;1;2;1;0.5;2;['Blaze', 'Speed Boost'];Blaze;Speed Boost;;;;
258;Mudkip;water;;50;50;70;50;50;40;310;45;70;1059860;0.41;7.6;TRUE;88.1;0;3;Mud Fish;Blue;quadruped;FALSE;Monster;Water_1;5120;1;1;1;2;1;1;0.5;1;1;2;1;0.5;1;1;1;1;0.5;0.5;['Torrent', 'Damp'];Torrent;Damp;;;;
259;Marshtomp;water;ground;70;70;85;70;60;50;405;45;70;1059860;0.71;28;TRUE;88.1;0;3;Mud Fish;Blue;bipedal_tailed;FALSE;Monster;Water_1;5120;1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;['Torrent', 'Damp'];Torrent;Damp;;;;
260;Swampert;water;ground;100;110;150;110;95;70;635;45;70;1059860;1.5;81.9;TRUE;88.1;0;3;Mud Fish;Blue;bipedal_tailed;TRUE;Monster;Water_1;5120;1;1;1;0;1;1;0.5;1;1;4;1;1;1;0.5;1;0.5;0.5;1;['Torrent', 'Damp'];Torrent;Damp;;;;
261;Poochyena;dark;;35;35;55;30;30;35;220;255;70;1000000;0.51;13.6;TRUE;50;0;3;Bite;Grey;quadruped;FALSE;Field;;3840;2;0.5;1;1;2;2;1;1;0.5;1;1;1;1;1;0;1;1;1;['Run Away', 'Quick Feet', 'Rattled'];Run Away;Quick Feet;Rattled;;;
262;Mightyena;dark;;70;70;90;60;60;70;420;127;70;1000000;0.99;37;TRUE;50;0;3;Bite;Grey;quadruped;FALSE;Field;;3840;2;0.5;1;1;2;2;1;1;0.5;1;1;1;1;1;0;1;1;1;['Intimidate', 'Quick Feet', 'Moxie'];Intimidate;Quick Feet;Moxie;;;
263;Zigzagoon;normal;;38;41;30;41;30;60;240;255;70;1000000;0.41;17.5;TRUE;50;0;3;Tiny Racoon;Brown;quadruped;FALSE;Field;;3840;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Pickup', 'Gluttony', 'Quick Feet'];Pickup;Gluttony;Quick Feet;;;
264;Linoone;normal;;78;61;70;61;50;100;420;90;70;1000000;0.51;32.5;TRUE;50;0;3;Rush;White;quadruped;FALSE;Field;;3840;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;['Pickup', 'Gluttony', 'Quick Feet'];Pickup;Gluttony;Quick Feet;;;
265;Wurmple;bug;;45;35;45;30;20;20;195;255;70;1000000;0.3;3.6;TRUE;50;0;3;Worm;Red;serpentine_body;FALSE;Bug;;3840;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;['Shield Dust', 'Run Away'];Shield Dust;Run Away;;;;
266;Silcoon;bug;;50;55;35;25;25;15;205;120;70;1000000;0.61;10;TRUE;50;0;3;Cocoon;White;head_only;FALSE;Bug;;3840;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;['Shed Skin'];Shed Skin;;;;;
267;Beautifly;bug;flying;60;50;70;50;100;65;395;45;70;1000000;0.99;28.4;TRUE;50;0;3;Butterfly;Yellow;four_wings;FALSE;Bug;;3840;0.5;1;1;2;1;0.25;2;2;1;0.25;0;2;1;1;1;4;1;1;['Swarm', 'Rivalry'];Swarm;Rivalry;;;;
268;Cascoon;bug;;50;55;35;25;25;15;205;120;70;1000000;0.71;11.5;TRUE;50;0;3;Cocoon;Purple;head_only;FALSE;Bug;;3840;1;1;1;1;1;0.5;2;2;1;0.5;0.5;1;1;1;1;2;1;1;['Shed Skin'];Shed Skin;;;;;
269;Dustox;bug;poison;60;70;50;90;50;65;385;45;70;1000000;1.19;31.6;TRUE;50;0;3;Poison Moth;Green;four_wings;FALSE;Bug;;3840;0.5;1;1;1;0.5;0.25;2;2;1;0.25;1;1;1;0.5;2;2;1;1;['Shield Dust', 'Compoundeyes'];Shield Dust;Compoundeyes;;;;
270;Lotad;water;grass;40;30;30;50;40;30;220;255;70;1059860;0.51;2.6;TRUE;50;0;3;Water Weed;Green;insectoid;FALSE;Water_1;Grass;3840;2;1;1;1;1;1;1;2;1;1;0.5;1;1;2;1;1;0.5;0.25;['Swift Swim', 'Rain Dish', 'Own Tempo'];Swift Swim;Rain Dish;Own Tempo;;;
271;Lombre;water;grass;60;50;50;70;60;50;340;120;70;1059860;1.19;32.5;TRUE;50;0;3;Jolly;Green;bipedal_tailless;FALSE;Water_1;Grass;3840;2;1;1;1;1;1;1;2;1;1;0.5;1;1;2;1;1;0.5;0.25;['Swift Swim', 'Rain Dish', 'Own Tempo'];Swift Swim;Rain Dish;Own Tempo;;;
272;Ludicolo;water;grass;80;70;70;100;90;70;480;45;70;1059860;1.5;55;TRUE;50;0;3;Carefree;Green;bipedal_tailless;FALSE;Water_1;Grass;3840;2;1;1;1;1;1;1;2;1;1;0.5;1;1;2;1;1;0.5;0.25;['Swift Swim', 'Rain Dish', 'Own Tempo'];Swift Swim;Rain Dish;Own Tempo;;;
273;Seedot;grass;;40;50;40;30;30;30;220;255;70;1059860;0.51;4;TRUE;50;0;3;Acorn;Brown;head_legs;FALSE;Field;Grass;3840;2;1;1;0.5;1;1;2;2;1;0.5;0.5;2;1;2;1;1;1;0.5;['Chlorophyll', 'Early Bird', 'Pickpocket'];Chlorophyll;Early Bird;Pickpocket;;;
